City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
84,Scarborough,GB,2022-02-02 01:10:43,54.2797,-0.4044,49.82,80,99,1.99
85,Souillac,MU,2022-02-02 01:08:09,-20.5167,57.5167,80.37,93,100,28.83
86,Bethel,US,2022-02-02 01:10:43,41.3712,-73.414,34.16,72,100,0.0
87,Castro,BR,2022-02-02 01:06:42,-24.7911,-50.0119,63.43,94,81,5.32
88,Mahebourg,MU,2022-02-02 01:10:44,-20.4081,57.7,80.26,91,100,29.97
89,Kaeo,NZ,2022-02-02 01:10:44,-35.1,173.7833,77.32,77,100,12.17
90,La Ronge,CA,2022-02-02 01:10:44,55.1001,-105.2842,-8.9,88,100,11.97
91,Bosaso,SO,2022-02-02 01:10:45,11.2842,49.1816,75.51,77,99,7.94
92,Port Elizabeth,ZA,2022-02-02 01:11:45,-33.918,25.5701,75.09,75,100,4.41
93,Petropavlovsk-Kamchatskiy,RU,2022-02-02 01:08:08,53.0452,158.6483,31.78,100,100,17.9
94,Mehamn,NO,2022-02-02 01:11:45,71.0357,27.8492,18.12,78,99,9.86
95,Asau,RO,2022-02-02 01:09:38,46.4333,26.4,26.76,92,95,5.59
96,Barinas,VE,2022-02-02 01:11:46,8.6226,-70.2075,79.32,43,37,4.79
97,Pangnirtung,CA,2022-02-02 01:09:04,66.1451,-65.7125,-23.87,84,71,6.62
98,Smolenka,RU,2022-02-02 01:11:46,52.1352,113.4974,-27.33,68,20,0.0
99,Hearst,CA,2022-02-02 01:08:02,49.6835,-83.6665,26.08,80,96,14.52
100,Altay,CN,2022-02-02 01:11:47,47.8667,88.1167,8.6,84,99,4.52
101,Viedma,AR,2022-02-02 01:11:47,-40.8135,-62.9967,68.09,54,100,15.39
102,Svetlogorsk,BY,2022-02-02 01:11:47,52.6333,29.7333,19.13,95,85,7.7
103,Shache,CN,2022-02-02 01:11:48,38.4167,77.2406,26.71,49,90,1.01
104,Nikolskoye,RU,2022-02-02 01:09:59,59.7035,30.7861,24.69,98,99,2.08
105,Noumea,NC,2022-02-02 01:11:48,-22.2763,166.4572,85.98,68,97,8.75
106,Ixtapa,MX,2022-02-02 01:11:48,20.7,-105.2,74.43,53,0,9.22
107,Westport,US,2022-02-02 01:09:10,41.1415,-73.3579,35.56,69,100,3.0
108,Lorengau,PG,2022-02-02 01:11:49,-2.0226,147.2712,79.99,81,100,5.19
109,Biak,ID,2022-02-02 01:11:49,-0.9131,122.8766,80.06,68,100,2.75
110,Chokurdakh,RU,2022-02-02 01:10:29,70.6333,147.9167,-14.26,96,100,5.17
111,Qaanaaq,GL,2022-02-02 01:11:50,77.484,-69.3632,-20.85,64,100,11.99
112,Saint-Philippe,RE,2022-02-02 01:11:50,-21.3585,55.7679,81.95,92,100,23.71
113,Hermanus,ZA,2022-02-02 01:11:50,-34.4187,19.2345,67.89,82,5,4.36
114,Eyl,SO,2022-02-02 01:11:51,7.9803,49.8164,73.87,82,100,15.64
115,Tuy Hoa,VN,2022-02-02 01:11:51,13.0833,109.3,74.61,86,57,8.1
116,Hilo,US,2022-02-02 01:10:58,19.7297,-155.09,76.73,74,75,5.75
117,Rio Grande,BR,2022-02-02 01:10:43,-32.035,-52.0986,68.85,65,0,10.49
118,Touros,BR,2022-02-02 01:06:55,-5.1989,-35.4608,77.9,77,42,9.46
119,Iqaluit,CA,2022-02-02 01:11:52,63.7506,-68.5145,-9.31,76,100,15.01
120,Waipawa,NZ,2022-02-02 01:10:34,-41.4122,175.5153,75.83,42,40,9.8
121,Puerto Ayora,EC,2022-02-02 01:11:52,-0.7393,-90.3518,75.54,95,100,1.99
122,Almenara,BR,2022-02-02 01:11:53,-16.1836,-40.6944,72.79,95,62,1.01
123,Iquique,CL,2022-02-02 01:09:05,-20.2208,-70.1431,68.04,76,5,4.74
124,Stavern,NO,2022-02-02 01:11:53,59.0,10.0333,27.45,94,100,22.21
125,Aklavik,CA,2022-02-02 01:11:10,68.2191,-135.0107,-15.02,100,99,3.09
126,Port Alfred,ZA,2022-02-02 01:11:54,-33.5906,26.891,77.63,76,100,5.93
127,Gornopravdinsk,RU,2022-02-02 01:11:54,60.05,69.9,3.87,99,99,4.94
128,Inuvik,CA,2022-02-02 01:11:54,68.3499,-133.7218,-10.44,100,100,3.58
129,Durban,ZA,2022-02-02 01:10:47,-29.8579,31.0292,77.92,88,62,1.99
130,Khatanga,RU,2022-02-02 01:08:07,71.9667,102.5,-37.68,99,20,2.37
131,Mar Del Plata,AR,2022-02-02 01:11:55,-38.0023,-57.5575,72.09,78,0,4.0
132,Santa Maria Del Oro,MX,2022-02-02 01:11:55,25.9333,-105.3667,60.76,16,2,11.77
133,Mukhen,RU,2022-02-02 01:11:55,48.1,136.1,5.14,85,100,5.59
134,Moree,AU,2022-02-02 01:11:56,-29.4667,149.85,74.62,83,100,8.08
135,Talnakh,RU,2022-02-02 01:08:03,69.4865,88.3972,2.21,95,100,8.01
136,College Place,US,2022-02-02 01:12:56,46.0493,-118.3883,40.87,73,100,1.01
137,Port Hedland,AU,2022-02-02 01:10:33,-20.3167,118.5667,84.25,84,100,4.61
138,Kollam,IN,2022-02-02 01:12:57,8.8833,76.6,76.87,85,0,5.55
139,Carnarvon,AU,2022-02-02 01:08:47,-24.8667,113.6333,84.27,70,97,13.8
140,Norwich,GB,2022-02-02 01:12:57,52.6278,1.2983,49.26,79,100,1.99
141,Mattawa,US,2022-02-02 01:12:58,46.7379,-119.9028,41.0,64,6,18.01
142,Praya,CV,2022-02-02 01:11:05,14.9215,-23.5087,79.34,44,75,14.97
143,Veselynove,UA,2022-02-02 01:12:58,47.3567,31.2349,31.06,98,100,3.85
144,Pochutla,MX,2022-02-02 01:12:58,15.7432,-96.4661,79.83,71,0,6.91
145,Bashmakovo,RU,2022-02-02 01:12:59,53.2133,43.0342,16.81,95,72,10.78
146,Neyvo-Shaytanskiy,RU,2022-02-02 01:12:59,57.7286,61.2496,24.64,95,100,7.76
147,Tuktoyaktuk,CA,2022-02-02 01:12:59,69.4541,-133.0374,-19.97,100,100,6.17
148,Seoul,KR,2022-02-02 01:13:00,37.5683,126.9778,26.11,38,41,7.49
149,Torbay,CA,2022-02-02 01:13:00,47.6666,-52.7314,20.57,63,6,1.99
150,Saskylakh,RU,2022-02-02 01:10:33,71.9167,114.0833,-28.21,100,35,1.74
151,Champerico,GT,2022-02-02 01:13:01,14.3,-91.9167,82.29,66,0,8.57
152,Gobabis,NA,2022-02-02 01:13:01,-22.45,18.9667,65.39,91,98,11.07
153,Calvinia,ZA,2022-02-02 01:13:01,-31.4707,19.776,70.99,69,100,3.4
154,Cananeia,BR,2022-02-02 01:13:02,-25.0147,-47.9267,74.43,93,100,2.53
155,Padang,ID,2022-02-02 01:13:02,-0.9492,100.3543,75.25,82,100,4.38
156,Hit,IQ,2022-02-02 01:13:02,33.6416,42.8251,47.68,67,0,2.51
157,Broome,US,2022-02-02 01:13:03,42.2506,-75.833,32.77,62,0,3.0
158,Bagdarin,RU,2022-02-02 01:13:03,54.4333,113.6,-17.59,95,14,3.94
159,Bathsheba,BB,2022-02-02 01:10:58,13.2167,-59.5167,79.41,78,75,13.8
160,Cape Town,ZA,2022-02-02 01:08:46,-33.9258,18.4232,69.1,82,36,1.01
161,La Paz,BO,2022-02-02 01:13:04,-16.5,-68.15,48.18,93,75,6.91
162,Ayan,RU,2022-02-02 01:13:04,56.45,138.1667,-0.99,67,71,12.91
163,Santiago Del Estero,AR,2022-02-02 01:09:56,-27.7951,-64.2615,87.73,24,100,5.97
164,Batemans Bay,AU,2022-02-02 01:13:04,-35.7167,150.1833,71.2,89,100,4.47
165,Betafo,MG,2022-02-02 01:13:05,-19.8333,46.85,55.58,93,48,4.99
166,Pirgos,GR,2022-02-02 01:13:05,35.1167,25.7178,60.62,66,87,21.12
167,Alofi,NU,2022-02-02 01:09:42,-19.0595,-169.9187,76.89,94,75,11.5
168,Arraial Do Cabo,BR,2022-02-02 01:13:05,-22.9661,-42.0278,76.19,89,100,11.48
169,Codrington,AU,2022-02-02 01:13:06,-38.2667,141.9667,59.92,52,100,13.89
170,Birobidzhan,RU,2022-02-02 01:13:06,48.8,132.95,-5.01,89,7,0.27
171,Wamba,NG,2022-02-02 01:13:06,8.9333,8.6,68.23,21,0,3.44
172,Boca Do Acre,BR,2022-02-02 01:13:07,-8.7522,-67.3978,73.35,98,100,0.85
173,Quevedo,EC,2022-02-02 01:13:07,-1.0333,-79.45,73.92,91,100,3.27
174,Jacareacanga,BR,2022-02-02 01:13:07,-6.2222,-57.7528,73.92,98,100,0.67
175,Cheremkhovo,RU,2022-02-02 01:13:08,53.1561,103.0675,-9.58,99,98,0.89
176,Qitaihe,CN,2022-02-02 01:13:08,45.8,130.85,7.14,82,88,11.74
177,Presidencia Roque Saenz Pena,AR,2022-02-02 01:13:08,-26.7852,-60.4388,83.44,23,0,7.4
178,Newport,GB,2022-02-02 01:13:09,51.5877,-2.9984,52.18,87,100,10.94
179,Xichang,CN,2022-02-02 01:13:09,27.8964,102.2634,32.74,91,100,4.52
180,Lumeje,AO,2022-02-02 01:13:09,-11.55,20.7833,66.02,91,100,1.59
181,Nampula,MZ,2022-02-02 01:13:10,-15.1165,39.2666,67.69,98,27,2.98
182,Drumheller,CA,2022-02-02 01:13:10,51.4617,-112.7101,4.28,78,100,9.06
183,Itaqui,BR,2022-02-02 01:13:10,-29.1253,-56.5531,83.37,34,0,9.62
184,Namatanai,PG,2022-02-02 01:13:11,-3.6667,152.4333,82.2,73,96,5.17
185,Cayenne,GF,2022-02-02 01:11:01,4.9333,-52.3333,75.09,92,100,4.0
186,Berlevag,NO,2022-02-02 01:14:11,70.8578,29.0864,21.69,73,83,10.27
187,Vila Franca Do Campo,PT,2022-02-02 01:14:12,37.7167,-25.4333,57.61,79,62,11.32
188,Dafeng,CN,2022-02-02 01:14:12,23.4517,108.5881,45.18,87,100,6.53
189,Lamu,KE,2022-02-02 01:14:12,-2.2717,40.902,76.6,89,100,7.65
190,Sao Joao Da Barra,BR,2022-02-02 01:12:25,-21.6403,-41.0511,72.7,97,100,6.58
191,Cootamundra,AU,2022-02-02 01:14:13,-34.65,148.0333,72.95,36,66,8.93
192,Ukiah,US,2022-02-02 01:14:13,39.1502,-123.2078,57.09,39,0,5.75
193,Abu Dhabi,AE,2022-02-02 01:13:08,24.4667,54.3667,68.11,83,20,1.01
194,Tomatlan,MX,2022-02-02 01:14:14,19.9333,-105.25,70.0,59,0,4.97
195,Mikuni,JP,2022-02-02 01:14:14,36.2171,136.1519,40.71,53,52,4.52
196,Talakan,RU,2022-02-02 01:14:15,50.3167,130.3667,-10.25,96,97,1.3
197,Camacha,PT,2022-02-02 01:14:15,33.0833,-16.3333,62.02,77,20,17.27
198,Geraldton,AU,2022-02-02 01:14:16,-28.7667,114.6,91.81,22,0,29.93
199,Laguna,US,2022-02-02 01:14:16,38.421,-121.4238,59.5,30,0,11.01
200,Shahrud,IR,2022-02-02 01:14:16,36.4182,54.9763,31.93,62,1,1.81
201,Sitka,US,2022-02-02 01:09:44,57.0531,-135.33,31.89,69,100,17.27
202,Ravar,IR,2022-02-02 01:14:17,31.2656,56.8055,43.72,59,0,4.74
203,Longyearbyen,SJ,2022-02-02 01:14:17,78.2186,15.6401,22.84,63,40,2.3
204,Samarai,PG,2022-02-02 01:14:17,-10.6167,150.6667,81.63,76,100,10.6
205,Khani,GE,2022-02-02 01:14:18,41.9563,42.9566,36.97,75,24,9.6
206,Gazanjyk,TM,2022-02-02 01:14:18,39.2446,55.5154,44.78,61,0,9.69
207,Hamilton,US,2022-02-02 01:09:32,39.1834,-84.5333,52.43,55,0,6.91
208,Zhaotong,CN,2022-02-02 01:14:19,27.3167,103.7167,24.87,93,89,4.12
209,Whithorn,JM,2022-02-02 01:14:19,18.2604,-78.0378,71.44,87,0,2.51
210,Yulara,AU,2022-02-02 01:14:19,-25.2406,130.9889,67.84,94,100,14.97
211,Labuhan,ID,2022-02-02 01:14:20,-6.8844,112.2051,80.58,79,67,4.83
212,Lata,PT,2022-02-02 01:14:20,40.1629,-8.3327,52.81,77,0,3.83
213,Karoi,ZW,2022-02-02 01:14:20,-16.8099,29.6925,62.73,99,30,5.95
214,Egvekinot,RU,2022-02-02 01:14:21,66.3167,-179.1667,-4.97,85,66,18.9
215,Sao Miguel Do Araguaia,BR,2022-02-02 01:14:21,-13.275,-50.1628,72.82,91,99,2.04
216,Luena,AO,2022-02-02 01:14:22,-11.7833,19.9167,60.62,93,89,1.57
217,Ponta Do Sol,PT,2022-02-02 01:14:22,32.6667,-17.1,68.13,45,100,13.91
218,Komsomolskiy,UZ,2022-02-02 01:14:22,40.4272,71.7189,27.82,52,100,2.35
219,Sortino,IT,2022-02-02 01:14:23,37.1566,15.026,45.61,65,2,11.97
220,Cibitoke,BI,2022-02-02 01:14:23,-2.8833,29.25,61.14,85,100,2.89
221,Buala,SB,2022-02-02 01:13:44,-8.145,159.5921,84.07,76,100,8.28
222,Moba,CN,2022-02-02 01:14:23,33.2288,105.0179,23.22,71,97,3.87
223,Kapaa,US,2022-02-02 01:14:24,22.0752,-159.319,79.12,69,0,1.01
224,Florianopolis,BR,2022-02-02 01:11:33,-27.6146,-48.5012,75.38,82,75,1.01
225,Okhotsk,RU,2022-02-02 01:14:24,59.3833,143.3,-0.81,77,15,17.2
226,Salme,NP,2022-02-02 01:14:25,28.0369,85.0942,34.09,57,2,7.47
227,Muisne,EC,2022-02-02 01:14:25,0.6,-80.0333,77.02,82,100,3.56
228,Hofn,IS,2022-02-02 01:14:25,64.2539,-15.2082,25.03,63,97,5.3
229,Abnub,EG,2022-02-02 01:15:26,27.2696,31.1511,48.42,48,85,3.09
230,Itarema,BR,2022-02-02 01:15:26,-2.9248,-39.9167,79.3,79,93,12.95
231,Kangema,KE,2022-02-02 01:15:26,-0.6833,36.9667,60.94,90,100,3.11
232,Kirakira,SB,2022-02-02 01:15:27,-10.4544,161.9205,83.53,79,72,7.87
233,Tecoanapa,MX,2022-02-02 01:15:27,16.5167,-98.75,78.19,67,0,8.99
234,Homer,US,2022-02-02 01:15:27,59.6425,-151.5483,37.29,70,100,0.0
235,Linhares,BR,2022-02-02 01:15:28,-19.3911,-40.0722,75.63,92,98,4.29
236,Kidal,ML,2022-02-02 01:15:28,18.4411,1.4078,65.26,14,88,8.95
237,Lesnoy,RU,2022-02-02 01:15:29,57.6198,63.0784,22.64,93,100,11.3
238,Meulaboh,ID,2022-02-02 01:15:29,4.1363,96.1285,76.35,86,60,4.74
239,Luau,AO,2022-02-02 01:15:30,-10.7073,22.2247,63.7,98,100,2.21
240,Denpasar,ID,2022-02-02 01:12:33,-8.65,115.2167,83.86,74,20,5.75
241,Jambi,ID,2022-02-02 01:15:30,-1.6,103.6167,75.13,92,96,2.84
242,Atasu,KZ,2022-02-02 01:15:30,48.6814,71.6433,9.73,84,100,8.55
243,Haines Junction,CA,2022-02-02 01:15:31,60.7522,-137.5108,-18.45,76,100,1.14
244,Mazatlan,MX,2022-02-02 01:15:31,23.2167,-106.4167,70.92,73,0,1.01
245,Kavieng,PG,2022-02-02 01:15:31,-2.5744,150.7967,81.37,75,100,5.68
246,Las Vegas,US,2022-02-02 01:12:34,36.175,-115.1372,57.88,15,0,10.36
247,Dongning,CN,2022-02-02 01:15:32,44.0622,131.1207,11.08,73,8,10.74
248,Ostersund,SE,2022-02-02 01:15:32,63.1792,14.6357,14.61,100,100,2.3
249,Goma,CD,2022-02-02 01:15:32,-1.6792,29.2228,63.88,76,100,1.86
250,Grindavik,IS,2022-02-02 01:15:33,63.8424,-22.4338,30.67,100,75,9.22
251,Yatou,CN,2022-02-02 01:15:33,37.15,122.3833,28.33,57,96,6.02
252,Rio Cuarto,AR,2022-02-02 01:15:34,-33.1307,-64.3499,78.67,46,17,10.45
253,Payo,ID,2022-02-02 01:15:34,-3.7508,103.6372,71.46,98,100,2.57
254,Ploemeur,FR,2022-02-02 01:15:35,47.7333,-3.4333,49.35,93,100,9.22
255,Palmer,US,2022-02-02 01:11:11,42.1584,-72.3287,31.55,72,75,0.0
256,Qaqortoq,GL,2022-02-02 01:15:35,60.7167,-46.0333,14.5,89,8,3.38
257,Alice Springs,AU,2022-02-02 01:15:35,-23.7,133.8833,72.95,94,100,19.57
258,Nokia,FI,2022-02-02 01:15:36,61.4667,23.5,10.38,76,100,2.3
259,Hasaki,JP,2022-02-02 01:15:36,35.7333,140.8333,46.29,39,0,15.79
260,Vao,NC,2022-02-02 01:15:37,-22.6667,167.4833,78.31,82,100,19.95
261,Khromtau,KZ,2022-02-02 01:15:37,50.2503,58.4347,15.35,87,100,7.9
262,Penzance,GB,2022-02-02 01:15:37,50.1186,-5.5371,51.01,90,100,17.74
263,Bahia Honda,CU,2022-02-02 01:15:38,22.9036,-83.1592,69.6,79,2,7.0
264,Iracoubo,GF,2022-02-02 01:15:38,5.4802,-53.2011,77.67,80,79,13.02
265,Siniscola,IT,2022-02-02 01:15:38,40.5719,9.6922,45.95,80,0,7.67
266,Bhatapara,IN,2022-02-02 01:15:39,21.7333,81.9333,57.74,41,26,1.5
267,Aitape,PG,2022-02-02 01:15:39,-3.1374,142.3475,80.24,82,100,0.69
268,Praia,CV,2022-02-02 01:15:39,14.9215,-23.5087,79.34,44,75,14.97
269,San Francisco,US,2022-02-02 01:12:00,37.7749,-122.4194,61.39,28,0,3.0
270,Kapit,MY,2022-02-02 01:15:40,2.0167,112.9333,77.49,88,36,1.48
271,Buraydah,SA,2022-02-02 01:15:40,26.326,43.975,45.05,48,0,7.96
272,Comodoro Rivadavia,AR,2022-02-02 01:15:41,-45.8667,-67.5,75.06,23,0,23.02
273,Provideniya,RU,2022-02-02 01:15:41,64.3833,-173.3,14.11,62,0,20.13
274,Maningrida,AU,2022-02-02 01:16:41,-12.0667,134.2667,84.43,71,72,13.02
275,Pulo,PH,2022-02-02 01:16:42,15.246,120.9285,81.07,62,7,8.48
276,Moyale,KE,2022-02-02 01:16:42,3.5167,39.0584,71.06,47,100,6.67
277,Miandrivazo,MG,2022-02-02 01:16:43,-19.5167,45.4667,79.32,77,100,2.82
278,Tacoronte,ES,2022-02-02 01:16:43,28.4769,-16.4102,68.22,65,40,11.99
279,Zabol,AF,2022-02-02 01:16:43,32.25,67.25,33.17,100,100,8.23
280,Santa Maria,BR,2022-02-02 01:16:44,-29.6842,-53.8069,74.86,45,0,5.17
281,Kununurra,AU,2022-02-02 01:16:44,-15.7667,128.7333,87.78,66,75,14.97
282,Natitingou,BJ,2022-02-02 01:16:44,10.3042,1.3796,67.91,15,75,7.96
283,Abyek,IR,2022-02-02 01:16:45,36.0667,50.55,28.0,56,0,3.36
284,Chandauli,IN,2022-02-02 01:16:45,25.2667,83.2667,53.65,81,0,3.56
285,Zavetnoye,RU,2022-02-02 01:16:45,47.1194,43.8903,32.67,89,100,8.12
286,Tabas,IR,2022-02-02 01:16:46,33.5959,56.9244,41.83,74,33,8.1
287,Burgos,ES,2022-02-02 01:16:46,42.3394,-3.7079,32.41,93,0,6.91
288,Port Keats,AU,2022-02-02 01:16:46,-14.25,129.55,84.02,77,100,18.16
289,Saint-Pierre,RE,2022-02-02 01:16:47,-21.3393,55.4781,80.24,94,100,29.93
290,Zemio,CF,2022-02-02 01:16:47,5.0314,25.1361,69.13,30,35,2.71
291,Mount Isa,AU,2022-02-02 01:16:47,-20.7333,139.5,87.57,55,100,9.22
292,Tuatapere,NZ,2022-02-02 01:16:01,-46.1333,167.6833,76.82,93,100,6.46
293,San Patricio,US,2022-02-02 01:16:48,28.017,-97.5169,65.08,76,28,7.94
294,San Policarpo,PH,2022-02-02 01:16:48,12.1791,125.5072,80.64,82,1,10.02
295,Vostok,RU,2022-02-02 01:16:48,46.4856,135.8833,1.9,88,100,5.21
